年份,论文题目,作者,期刊/会议,状态,DOI/链接,代码/数据链接,,,,,
2026,"Relative pollen productivity estimates for major plant taxa in the Qaidam Basin, northern Tibetan Plateau","Ma L, Zhang S, ... Miao Y*.",Review of Palaeobotany and Palynology,已发表,https://doi.org/10.1016/j.revpalbo.2026.105581,,,,,,
2026,Late Cenozoic wildfire evolution in East-Central Asia: A microcharcoal record from the Junggar Basin,"Niu G, Miao Y*, Wang X, et al.","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2025.113488,,,,,,
2026,AI-driven microcharcoal recognition: Advancing intelligent automation for paleofire reconstruction,"Zhang Z, Wang Z, Miao Y*, et al.",Global and Planetary Change,已发表,https://doi.org/10.1016/j.gloplacha.2026.105356,,,,,,
2025,How “wet islands” form – A case study of the Qilian Mountains on the arid northern Tibetan Plateau during the Middle Miocene,"Yang Y, Miao Y*, Wang X, et al. ",Earth-Science Reviews,已发表,https://doi.org/10.1016/j.earscirev.2025.105041,,,,,,
2025,Relative pollen productivity in subtropical evergreen broadleaved forest: Implications for reconstructing paleovegetation dynamics in East Asia,"Ma L, Zhang S, ... Miao Y*.",Ecological Indicators,已发表,https://doi.org/10.1016/j.ecolind.2025.114112,,,,,,
2025,"A new method of automatic microcharcoal identification and its demonstration in revealing the spatial heterogeneity of fire over the past 40,000 years in China","Zou Y, Miao Y, Li Y, et al.",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2025.109743,,,,,,
2024,New Discovery of Calamitaceae from the Cisuralian in Northwest China: Morphological Evolution of Strobilus,"Wang X, Miao Y*, Ji Y, et al.",Biology,已发表,https://doi.org/10.3390/biology13050347,,,,,,
2024,亚洲内陆干旱区空气孢粉研究现状及展望,"苗运法*, 雷艳, 赵永涛, 等. ",第四纪研究,已发表,https://doi.org/10.11928/j.issn.1001-7410.2024.03.06,,,,,,
2024,我国中西部表层沉积物中微炭屑记录的火活动信息,"王梓莎, 苗运法*, 赵永涛, 等",第四纪研究,已发表,https://doi.org/10.11928/j.isssn.1001-7410.2024.01.15,,,,,,
2023,Microcharcoals reveal more grass than trees during the Mid-Holocene Optimum on the Chinese Loess Plateau,"Wang Z, Miao Y*, Zou Y, et al.",Geophysical Research Letters,已发表,https://doi.org/10.1029/2023GL103637,,,,,,
2023,Pollen assemblages reflect a Mid-Miocene precipitation gradient in the northeastern Tibetan Plateau,"Miao Y*, Zhang T, Huang K, et al.","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2023.111514,,,,,,
2023,The effects of meteorological conditions on allergenic airborne pollen in arid Northwest China,"Lei Y, Miao Y*, Zhao Y, et al. ",Atmospheric Environment,已发表,https://doi.org/10.1016/j.atmosenv.2023.119647,,,,,,
2023, Extreme-wind events in China in the past 50 years and their impacts on sandstorm variations,"Jiang Y, Miao Y*, Zhao Y, et al.",Frontiers in Earth Science,已发表,https://doi.org/10.3389/feart.2022.1058275,,,,,,
2022,A new biologic paleoaltimetry indicating Late Miocene rapid uplift of northern Tibet Plateau,"Miao Y*, Fang X*, Sun J, et al.",Science,已发表, https://doi.org/10.1126/science.abo2475,,,,,,
2022,Comment on “An equable subtropical climate throughout China in the Miocene based on palaeofloral evidence”,"Miao Y*, Xiang M, Zhang T, et al.",Earth-Science Reviews,已发表,https://doi.org/10.1016/j.earscirev.2022.104020,,,,,,
2022,Palynomorph assemblages evidence for river reorganization 8.5 million years ago in Southeast Asia,"Miao Y*, Warny S*, Liu C, et al.",Global and Planetary Change,已发表,https://doi.org/10.1016/j.gloplacha.2022.103808,,,,,,
2022,"Holocene hydroclimate changes revealed by multiple proxies from an alpine lake in the central Tianshan Mountains, Northwest China","Zhao Y, Miao Y*, Huang X, et al.","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2022.111004,,,,,,
2022,Non-linear response of mid-latitude Asian dryland vegetation to Holocene climate fluctuations," Zhao Y, Miao Y*, Li Y, et al.",Catena,已发表,https://doi.org/10.1016/j.catena.2022.106212,,,,,,
2022,Early Oligocene—Late Miocene Wildfire History in the Northern Tibetan Plateau and Links to Temperature-Driven Precipitation Changes,"Miao Y, Chang H*, Li L, et al.",Frontiers in Earth Science,已发表,https://doi.org/10.3389/feart.2022.850809,,,,,,
2022,Lake Changes during the Past Five Decades in Central East Asia: Links with Climate Change and Climate Future Forecasting,"Yang Y*, Wu J, Miao Y*, et al.",Water,已发表, https://doi.org/10.3390/w14223661,,,,,,
2021,"Progress, problems and prospects of palynology in reconstructing environmental change in inland arid areas of Asia","Zhao Y, Miao Y*, Lei Y, et al. ",Sciences in Cold and Arid Regions,已发表,https://doi.org/10.3724/SP.J.1226.2021.20049.,,,,,,
2021,"Investigation of factors affecting surface pollen assemblages in the Balikun Basin, central Asia: Implications for palaeoenvironmental reconstructions","Zhao Y, Miao Y*, Fang Y. et al.",Ecological Indicators,已发表,https://doi.org/10.1016/j.ecolind.2020.107332,,,,,,
2021,"A new automatic statistical microcharcoal analysis method based on image processing, demonstrated in the Weiyuan Section, northwest China","Zou Y, Miao F*, Yang L, et al.",Frontiers in Earth Science,已发表,https://doi.org/10.3389/feart.2021.609916,,,,,,
2020," Late Pleistocene fire in the Ili Basin, Central Asia, and its potential links to paleoclimate change and human activities","Miao Y*, Song Y*, Li Y, et al.","Palaeogeography, Palaeoclimatology, Palaeoecology",已发表,https://doi.org/10.1016/j.palaeo.2020.109700,,,,,,
2020,以孢粉学方法为例浅论黄土沉积物中微体炭屑的统计问题,"王梓莎, 赵永涛, 苗运法*, 等",干旱区地理,已发表,https://doi.org/10.12118/j. issn. 1000－6060. 2020. 03.12,,,,,,
2020,柴达木盆地北缘湖泊表层沉积物炭屑特征及其环境意义,"王梓莎, 苗运法*, 赵永涛, 等",中国沙漠,已发表,https://doi.org/10.7522/j.issn.1000-694X.2020.00012,,,,,,
2019,Miocene fire intensification linked to continuous aridification on the Tibetan Plateau,"Miao Y*, Wu F*, Warny S, et al.",Geology,已发表,https://doi.org/10.1130/G45720.1,,,,,,
2018,Climatic or tectonic control on organic matter deposition in the South China Sea? A lesson learned from a comprehensive Neogene palynological study of IODP Site U1433,"Miao Y*, Warny S*, Clift P et al.",International Journal of Coal Geology,已发表,https://doi.org/10.1016/j.coal.2017.10.003,,,,,,
2018,青藏高原北部柴达木盆地中新世菌孢子变化及其意义初探,"苗运法*, 吴福莉, 方小敏, 等",第四纪研究,已发表,https://doi.org/10.11928/j.issn.1001-7410.2018.01.05,,,,,,
2017,Evidence of continuous Asian summer monsoon weakening as a response to global cooling over the last 8 Ma,"Miao Y, Warny S*, Clift P, et al.",Gondwana Research,已发表,https://doi.org/10.1016/j.gr.2017.09.003,,,,,,
2017,"Neogene fungal record from IODP Site U1433, South China Sea: Implications for paleoenvironmental change and the onset of the Mekong River","Miao Y, Warny S*, Liu C, et al.",Marine Geology ,已发表,http://dx.doi.org/10.1016/j.margeo.2017.08.019,,,,,,
2017,Holocene fire on the northeast Tibetan Plateau in relation to climate change and human activity,"Miao Y*, Zhang D, Cai X, et al.",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2016.05.029,,,,,,
2016,Late Cenozoic fire enhancement response to aridification in mid-latitude Asia: Evidence from microcharcoal records. ,"Miao Y*, Fang X*, Song C, et al.",Quaternary Science Reviews,已发表,http://dx.doi.org/10.1016/j.quascirev.2016.02.030,,,,,,
2016,"Late Cenozoic pollen concentration in the western Qaidam Basin, northern Tibetan Plateau, and its significance for paleoclimate and tectonics","Miao Y*, Fang X, Liu Y, et al.",Review of Palaeobotany and Palynology,已发表,http://dx.doi.org/10.1016/j.revpalbo.2016.04.008,,,,,,
2016,"Human activity accelerating the rapid desertification of the Mu Us Sandy Lands, North China","Miao Y, Jin H, & Cui, J",Scientific reports,已发表,https://doi.org/10.1038/srep23003,,,,,,
2016,新疆青海地区现代地表沉积物颜色指标与气候参数关系,严永耀，安聪荣，苗运法*,干旱区地理,已发表,https://doi.org/10.13826/j.cnki.cn65-1103/x.2017.02.014,,,,,,
2016,Late Cenozoic genus Fupingopollenites development and its implications for the Asian summer monsoon evolution,"Miao Y, Song C, Fang X, et al. ",Gondwana Research,已发表,http://dx.doi.org/10.1016/j.gr.2014.12.007,,,,,,
2016,"A Late-Eocene palynological record fromthe Hoh Xil Basin, northern Tibetan Plateau, and its implications for stratigraphic age, paleoclimate and paleoelevation","Miao Y, Wu F*, Chang H, et al.",Gondwana Research,已发表,https://doi.org/10.1016/j.gr.2015.01.007,,,,,,
2015, Holocene climate change on the northeastern Tibetan Plateau inferred from mountain-slope pollen and non-pollen palynomorphs,"Miao Y, Jin H*, Liu B, et al.",Review of Palaeobotany and Palynology,已发表,http://dx.doi.org/10.1016/j.revpalbo.2015.05.006,,,,,,
2015,"Late Quaternary pollen records from the Yangtze River Delta, East China, and its implications for the Asian monsoon evolution","Miao Y, Zhang P*, Lu S, et al. ",Arabian Journal of Geosciences,已发表,https://doi.org/10.1007/s12517-015-1777-8,,,,,,
2014,Late Cenozoic fluvial-lacustrine susceptibility increases in the Linxia Basin and their implications for Tibetan Plateau uplift,"Yan X, Miao, Y*, Zan, J, et al.",Quaternary International,已发表,https://doi.org/10.1016/j.quaint.2013.12.046,,,,,,
2014,Natural ecosystem response and recovery after the 8.2 ka cold event: Evidence from slope sediments on the northeastern Tibetan Plateau,"Miao Y *, Jin H, Liu B, et al.",Journal of Arid Environments,已发表,http://dx.doi.org/10.1016/j.jaridenv.2014.01.021,,,,,,
